id,y,x
Jonctiune-267,"45.24573854","27.93347802"
Jonctiune-1224,"45.24423541","27.93687853"
Jonctiune-1225,"45.24546320","27.93792991"
Jonctiune-1226,"45.24414860","27.93680295"
Jonctiune-1404,"45.24736129","27.93026227"
Jonctiune-1405,"45.24776419","27.92945508"
Jonctiune-1406,"45.24815049","27.92867743"
Jonctiune-1407,"45.24862497","27.92769933"
Jonctiune-1413,"45.24616046","27.93267670"
Jonctiune-1414,"45.25226537","27.93800091"
Jonctiune-1415,"45.24756158","27.93393510"
Jonctiune-1419,"45.25200997","27.93431527"
Jonctiune-1421,"45.25053390","27.93194745"
Jonctiune-1606,"45.24444777","27.93234022"
Jonctiune-1610,"45.24718473","27.93473582"
Jonctiune-1616,"45.24863349","27.93600119"
Jonctiune-1628,"45.25089553","27.93917345"
Jonctiune-1632,"45.24972292","27.94056853"
Jonctiune-1634,"45.25077460","27.94147262"
Jonctiune-1635,"45.24867421","27.93962250"
Jonctiune-1636,"45.24632837","27.93755924"
Jonctiune-1637,"45.24586769","27.93716315"
Jonctiune-1638,"45.24502921","27.93641730"
Jonctiune-1641,"45.24738804","27.93849691"
Jonctiune-1642,"45.25201068","27.94040131"
Jonctiune-1646,"45.25147403","27.94440617"
Jonctiune-1872,"45.24258789","27.93185332"
Jonctiune-1873,"45.24582825","27.93355174"
Jonctiune-1874,"45.25016852","27.93734053"
Jonctiune-1875,"45.25217171","27.93914660"
SenzorComunarzi-NatVech,"45.25213719","27.93904164"
Jonctiune-1877,"45.25052752","27.93765799"
Jonctiune-1995,"45.25269675","27.93613959"
Jonctiune-1996,"45.25170627","27.93526432"
Jonctiune-1997,"45.25209503","27.93451351"
Jonctiune-1998,"45.25168915","27.93533442"
Jonctiune-2176,"45.24932472","27.93449884"
Jonctiune-2177,"45.25249080","27.93716785"
SenzorCernauti-Sebesului,"45.24793499","27.93317718"
Jonctiune-2179,"45.24661125","27.93201737"
Jonctiune-2180,"45.24648785","27.93190885"
Jonctiune-2181,"45.24416878","27.92985024"
Jonctiune-2182,"45.24520581","27.93080988"
Jonctiune-2184,"45.25199480","27.93439655"
Jonctiune-2185,"45.24519099","27.92957133"
Jonctiune-2186,"45.25230523","27.93806207"
Jonctiune-2187,"45.24913751","27.93074899"
Jonctiune-2188,"45.24801335","27.92977608"
Jonctiune-2189,"45.24739797","27.92919111"
Jonctiune-2190,"45.24687198","27.92866151"
Jonctiune-2191,"45.24757878","27.92826494"
Jonctiune-2192,"45.24952562","27.92995899"
Jonctiune-2193,"45.24871531","27.93157649"
Jonctiune-2194,"45.24974802","27.93374633"
Jonctiune-2195,"45.24931571","27.93462685"
Jonctiune-2196,"45.24733921","27.93029976"
Jonctiune-2197,"45.24202131","27.93721955"
SenzorChisinau-Titulescu,"45.24333628","27.93837669"
Jonctiune-2199,"45.24617370","27.94085179"
Jonctiune-2200,"45.24620959","27.94088350"
Jonctiune-2201,"45.24811923","27.94255862"
Jonctiune-2202,"45.24776189","27.94333505"
Jonctiune-2203,"45.24851385","27.94175865"
Jonctiune-2204,"45.24890746","27.94097375"
Jonctiune-2205,"45.25153749","27.94437057"
Jonctiune-2206,"45.25158099","27.94553615"
Jonctiune-2207,"45.24699442","27.93929636"
Jonctiune-2208,"45.23906769","27.93235078"
Jonctiune-2729,"45.24010374","27.93674490"
Jonctiune-2730,"45.24164315","27.93803401"
Jonctiune-2734,"45.25228252","27.94718523"
Jonctiune-2735,"45.25199570","27.94011617"
Jonctiune-2736,"45.25162923","27.94334916"
Jonctiune-2737,"45.25171927","27.94225129"
Jonctiune-2738,"45.25146100","27.94459508"
Jonctiune-2739,"45.24753079","27.93977157"
PT2,"45.25073965","27.93930439"
Jonctiune-2743,"45.24826045","27.93670688"
Jonctiune-2744,"45.25192649","27.94037305"
Jonctiune-2749,"45.23905319","27.93228389"
Jonctiune-2750,"45.24170535","27.93353561"
Jonctiune-2751,"45.23992366","27.93192427"
Jonctiune-2752,"45.24453845","27.93594058"
Jonctiune-2753,"45.24175031","27.93352720"
Jonctiune-2755,"45.24220628","27.93264948"
Jonctiune-2756,"45.24056909","27.93592768"
Jonctiune-2773,"45.24512490","27.93874786"
Jonctiune-2774,"45.24493555","27.93503735"
Jonctiune-2776,"45.25018289","27.93285542"
Jonctiune-2777,"45.24893217","27.93541723"
